['alidiqu', u'2016-01-26 23:00:00', u'37', u'22', u'36', u'1.42', u'5', u'28', u'29', u'14']
['jurong', u'2016-01-26 23:00:00', u'90', u'43', u'127', u'1.06', u'51', u'16', u'32', u'32']
['liupanshui', u'2016-01-26 23:00:00', u'127', u'96', u'133', u'1.1', u'30', u'48', u'50', u'29']
['dongying', u'2016-01-26 23:00:00', u'88', u'65', u'121', u'1.94', u'81', u'7', u'25', u'69']
['huaihua', u'2016-01-26 23:00:00', u'98', u'73', u'136', u'1.25', u'22', u'60', u'55', u'56']
['anshun', u'2016-01-26 23:00:00', u'50', u'35', u'48', u'0.62', u'14', u'49', u'50', u'23']
['jimo', u'2016-01-26 23:00:00', u'188', u'128', u'324', u'4.21', u'89', u'11', u'20', u'216']
['laizhou', u'2016-01-26 23:00:00', u'122', u'92', u'147', u'3.43', u'70', u'2', u'14', u'65']
['honghezhou', u'2016-01-26 23:00:00', u'217', u'166', u'263', u'2.57', u'39', u'21', u'38', u'121']
['sanming', u'2016-01-26 23:00:00', u'54', u'37', u'35', u'0.82', u'35', u'18', u'27', u'8']
['yangzhou', u'2016-01-26 23:00:00', u'95', u'57', u'137', u'1.32', u'62', u'13', u'35', u'43']
['kuerle', u'2016-01-26 23:00:00', u'143', u'84', u'233', u'1.75', u'49', u'33', u'44', u'12']
['jiujiang', u'2016-01-26 23:00:00', u'66', u'35', u'80', u'0.72', u'34', u'38', u'40', u'25']
['pingdingshan', u'2016-01-26 23:00:00', u'160', u'121', u'210', u'2.0', u'96', u'11', u'49', u'84']
['ankang', u'2016-01-26 23:00:00', u'98', u'73', u'115', u'2.05', u'32', u'32', u'52', u'26']
['wuxi', u'2016-01-26 23:00:00', u'83', u'56', u'113', u'1.53', u'88', u'16', u'34', u'17']
['daxinganlingdiqu', u'2016-01-26 23:00:00', u'40', u'16', u'39', u'0.32', u'2', u'37', u'37', u'24']
['tongliao', u'2016-01-26 23:00:00', u'66', u'39', u'79', u'0.71', u'19', u'47', u'46', u'29']
['qiqihaer', u'2016-01-26 23:00:00', u'61', u'43', u'58', u'0.94', u'18', u'23', u'25', u'45']
['zhuhai', u'2016-01-26 23:00:00', u'55', u'38', u'58', u'0.68', u'66', u'29', u'30', u'8']
['shanghai', u'2016-01-26 23:00:00', u'87', u'64', u'89', u'1.05', u'106', u'22', u'35', u'20']
['zhangjiakou', u'2016-01-26 23:00:00', u'64', u'26', u'75', u'0.73', u'21', u'66', u'55', u'39']
['shouguang', u'2016-01-26 23:00:00', u'127', u'96', u'139', u'1.98', u'85', u'7', u'20', u'72']
['shijiazhuang', u'2016-01-26 23:00:00', u'94', u'70', u'111', u'1.08', u'59', u'30', u'30', u'78']
['qujing', u'2016-01-26 23:00:00', u'48', u'33', u'45', u'1.05', u'21', u'36', u'52', u'16']
['hainanzhou', u'2016-01-26 23:00:00', u'72', u'52', u'78', u'0.68', u'19', u'38', u'64', u'15']
['jilin', u'2016-01-26 23:00:00', u'47', u'28', u'46', u'0.68', u'21', u'74', u'69', u'32']
['ziyang', u'2016-01-26 23:00:00', u'83', u'58', u'114', u'1.04', u'32', u'29', u'74', u'19']
['xinzhou', u'2016-01-26 23:00:00', u'115', u'86', u'139', u'3.01', u'29', u'13', u'46', u'76']
['yingtan', u'2016-01-26 23:00:00', u'86', u'63', u'111', u'0.69', u'39', u'20', u'35', u'52']
['tongling', u'2016-01-26 23:00:00', u'74', u'41', u'96', u'1.32', u'59', u'20', u'31', u'18']
['linzhidiqu', u'2016-01-26 23:00:00', u'45', u'12', u'14', u'0.83', u'4', u'87', u'88', u'10']
['xingtai', u'2016-01-26 23:00:00', u'132', u'100', u'152', u'2.63', u'94', u'6', u'25', u'174']
['huaibei', u'2016-01-26 23:00:00', u'86', u'63', u'90', u'1.34', u'102', u'8', u'25', u'58']
['tianshui', u'2016-01-26 23:00:00', u'57', u'37', u'62', u'1.11', u'41', u'40', u'48', u'52']
['tachengdiqu', u'2016-01-26 23:00:00', u'80', u'38', u'108', u'2.62', u'32', u'35', u'71', u'3']
