['alidiqu', u'2016-01-26 23:00:00', u'\u963f\u91cc\u5730\u59d4', u'18', u'\u4f18', u'_', u'12', u'_', u'0.397', u'2', u'48', u'48', u'10']
['jurong', u'2016-01-26 23:00:00', u'\u623f\u5bb6\u575d', u'_', '-', u'_', u'_', u'_', u'_', u'_', u'_', u'_', u'_']
['liupanshui', u'2016-01-26 23:00:00', u'\u53cc\u6c34', u'105', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'79', u'92', u'0.484', u'10', u'81', u'72', u'3']
['dongying', u'2016-01-26 23:00:00', u'\u5e7f\u5357\u6c34\u5e93', u'_', '-', u'_', u'_', u'_', u'_', u'_', u'_', u'_', u'_']
['huaihua', u'2016-01-26 23:00:00', u'\u5e02\u59d4\u515a\u6821', u'95', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'71', u'119', u'1.831', u'5', u'77', u'77', u'33']
['anshun', u'2016-01-26 23:00:00', u'\u9f99\u5ca9\u5b50\u6821', u'48', u'\u4f18', u'_', u'33', u'45', u'0.62', u'12', u'44', u'48', u'4']
['jimo', u'2016-01-26 23:00:00', u'\u5f00\u53d1\u533a\u5b50\u7ad9', u'105', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'79', u'_', u'1.24', u'77', u'19', u'27', u'96']
['laizhou', u'2016-01-26 23:00:00', u'\u83b1\u5dde\u5916\u7ecf\u59d4', u'132', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'100', u'134', u'4.005', u'66', u'3', u'13', u'75']
['honghezhou', u'2016-01-26 23:00:00', u'\u76d1\u6d4b\u7ad9', u'260', u'\u91cd\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'210', u'299', u'2.56', u'43', u'18', u'29', u'121']
['sanming', u'2016-01-26 23:00:00', u'\u6d0b\u6eaa', u'38', u'\u4f18', u'_', u'26', u'32', u'0.454', u'18', u'35', u'38', u'7']
['yangzhou', u'2016-01-26 23:00:00', u'\u7b2c\u56db\u533b\u9662', u'97', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'50', u'144', u'1.559', u'106', u'20', u'46', u'51']
['kuerle', u'2016-01-26 23:00:00', u'\u7ecf\u6d4e\u5f00\u53d1\u533a', u'122', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u9897\u7c92\u7269(PM10)', u'64', u'194', u'1.43', u'30', u'51', u'57', u'9']
['jiujiang', u'2016-01-26 23:00:00', u'\u5e90\u5c71\u6c14\u8c61\u53f0', u'25', u'\u4f18', u'_', u'11', u'11', u'0.252', u'2', u'80', u'76', u'8']
['pingdingshan', u'2016-01-26 23:00:00', u'\u5e73\u9876\u5c71\u5de5\u5b66\u9662', u'145', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'111', u'141', u'1.547', u'104', u'19', u'71', u'62']
['ankang', u'2016-01-26 23:00:00', u'\u6c49\u6ee8\u533a\u68c0\u5bdf\u9662', u'72', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'52', u'73', u'1.983', u'22', u'48', u'59', u'12']
['wuxi', u'2016-01-26 23:00:00', u'\u8363\u5df7', u'58', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'36', u'65', u'1.107', u'82', u'12', u'32', u'11']
['daxinganlingdiqu', u'2016-01-26 23:00:00', u'\u516c\u5b89\u5c40', u'39', u'\u4f18', u'_', u'16', u'39', u'0.544', u'2', u'39', u'37', u'17']
